lineage,AHE,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
Scincidae_Acontias_percivali_HERR013918,318,Scincidae_Acontias_percivali_HERR013918.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Scincoidea,Scincidae,Acontiinae,Acontias,percivali,HERR013918
Scincidae_Eugongylus_rufescens_UMMZ242515,363,Scincidae_Eugongylus_rufescens_UMMZ242515.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Scincoidea,Scincidae,Lygosominae_Eugongylini,Eugongylus,rufescens,UMMZ242515
Scincidae_Eremiascincus_fasciolatus_SAMAR60807,362,Scincidae_Eremiascincus_fasciolatus_SAMAR60807.fasta,SqCL,AusARG_Sphenomorphini,Squamata,Scincoidea,Scincidae,Lygosominae_Sphenomorphini,Eremiascincus,fasciolatus,SAMAR60807
Scincidae_Sphenomorphus_solomonis_BPBM38999,353,Scincidae_Sphenomorphus_solomonis_BPBM38999.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Scincoidea,Scincidae,Lygosominae_Sphenomorphini,Sphenomorphus,solomonis,BPBM38999
Scincidae_Bellatorias_frerei_AMSR.113970,361,Scincidae_Bellatorias_frerei_AMSR.113970.fasta,AHE,AHE_Tiliquini,Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Bellatorias,frerei,AMSR.113970
Scincidae_Bellatorias_frerei_AMSR.96317,357,Scincidae_Bellatorias_frerei_AMSR.96317.fasta,AHE,AHE_Tiliquini,Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Bellatorias,frerei,AMSR.96317
Scincidae_Bellatorias_frerei_SAMAR21133,274,Scincidae_Bellatorias_frerei_SAMAR21133.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Bellatorias,frerei,SAMAR21133
Scincidae_Bellatorias_major_SAMAR33412,354,Scincidae_Bellatorias_major_SAMAR33412.fasta,AHE,AHE_Tiliquini,Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Bellatorias,major,SAMAR33412
Scincidae_Bellatorias_obiri_AMSR.100018,361,Scincidae_Bellatorias_obiri_AMSR.100018.fasta,AHE,AHE_Tiliquini,Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Bellatorias,obiri,AMSR.100018
Scincidae_Corucia_zebrata_ABTC50418,357,Scincidae_Corucia_zebrata_ABTC50418.fasta,AHE,AHE_Tiliquini,Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Corucia,zebrata,ABTC50418
Scincidae_Corucia_zebrata_UMFS11250,361,Scincidae_Corucia_zebrata_UMFS11250.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Scincoidea,Scincidae,Lygosominae_Tiliquini,Corucia,zebrata,UMFS11250
