SampleID,nRawReads,nRawBases,nMergedReads,nMergedBases,nUnmergedReads,nUnmergedBases,RawCoverage,nLoci125,nLoci250,nLoci500,nLoci1000,AvgLocLenAll,AvgLocLenUpper,%OnTarget,ReadsPerLocus,BasesPerLocus,AvgNHomologs,DupRateAll,DupRateLast1000,ACGT Count,N Count,Other Base Count,ContamProp
ABTC1150,5161355,1079846700,1561866,363089372,2037623,611286900,1512.390336,389,388,385,369,1760.942928,1618.940447,29.66781071,4444.054591,717310.4417,1.637717122,0.691131115,0.828,955418,2712,8432,6.60848E-15
ABTC9143,6339017,1311579600,1967085,456309153,2404847,721454100,1836.946218,390,389,386,374,1898.327543,1798.401985,43.25385723,8365.987593,1264089.419,1.843672457,0.576428414,0.063,1150562,5984,18444,1.56422E-23
ABTC11398,2063351,405768300,710790,161435211,641771,192531300,568.3029412,380,379,368,321,1511.389578,1366.48139,33.81712769,1685.806452,297025.5757,1.436724566,0.682200437,0.836,747699,965,4517,7.38159E-13
ABTC100573,807096,138216000,346376,77293488,114344,34303200,193.5798319,388,384,373,322,1386.305211,1302.275434,70.32589713,1004.354839,194742.8586,1.456575682,0.524988524,0.11,677199,447,3507,2.29214E-17
ABTC99920,17764952,3304124400,6751204,1453370294,4262544,1278763200,4627.62521,391,390,388,381,1872.081886,1729.029777,19.01074974,7830.513648,1288831.417,1.709677419,0.665634679,0.77,1083149,6530,17756,5.22693E-08
ABTC85105,6783746,1367499000,2225416,515576542,2332914,699874200,1915.264706,390,389,385,370,1780.119107,1638.48139,24.63415017,4492.416873,742967.6452,1.630272953,0.666457804,0.819,965601,2433,9178,1.36454E-15
ABTC101416,5255802,953964600,2075920,459996302,1103962,331188600,1336.084874,387,383,373,338,1593.203474,1449.746898,30.40860188,3259.131514,596993.2184,1.640198511,0.710324115,0.87,830728,1371,5184,1.35656E-49
ABTC10881,5086475,813014400,2376427,471820171,333621,100086300,1138.67563,390,389,386,349,1532.501241,1401.590571,37.48098926,2842.203474,531901.2481,1.694789082,0.684829202,0.736,808338,803,4790,5.41863E-12
ABTC11440,8649142,1809739200,2616678,611128453,3415786,1024735800,2534.648739,388,388,386,371,1806.007444,1664.739454,20.73449092,5332.925558,841657.8784,1.674937965,0.684766797,0.841,998550,3303,11274,8.02044E-15
ABTC12411,6922354,1405825200,2236270,493290480,2449814,734944200,1968.942857,390,388,379,354,1790.349876,1647.617866,29.29724725,5558.337469,892900.6228,1.660049628,0.69684361,0.798,966618,3387,10537,6.97924E-24
ABTC16792,1614795,328249800,520629,117967696,573537,172061100,459.7336134,376,367,352,308,1443.620347,1301.80397,32.50101207,1348.359801,233901.4739,1.399503722,0.645750276,0.778,692176,242,2453,5.4066E-20
ABTC14392,9357918,1843591500,3212613,733760757,2932692,879807600,2582.060924,389,389,387,373,1806.007444,1669.17866,21.97871993,5394.33995,880004.1439,1.682382134,0.689881007,0.853,1022356,3236,14162,8.80732E-05
ABTC17065,2152986,378668700,890757,188143386,371472,111441600,530.3483193,381,379,365,314,1438.064516,1297.330025,37.14698306,1505.861042,276145.866,1.506203474,0.695580639,0.822,714393,959,3975,4.34914E-13
ABTC16273,7817086,1609038900,2453623,579113677,2909840,872952000,2253.555882,390,389,387,377,1899.468983,1793.08933,43.10971865,10296.58065,1553303.792,1.82382134,0.570305795,0.743,1141007,4413,15415,1.16987E-08
ABTC14359,1464124,238207500,670099,142473503,123926,37177800,333.6239496,388,384,367,305,1349.034739,1261.669975,58.96035722,1353.528536,262836.3524,1.605459057,0.507640253,0.113,689945,377,3228,6.89014E-13
ABTC42404,340302,57901500,147297,31249409,45708,13712400,81.09453782,388,379,345,231,1230.689826,1001.498759,30.39075452,174.6575682,33906.28536,1.243176179,0.3907125,0.449,570115,1,1259,0.01
ABTC48811,2916157,585399900,964824,222560222,986509,295952700,819.8878151,391,390,389,368,1764.565757,1608.272953,34.00476854,2520.779156,437516.4243,1.508684864,0.450180841,0.617,890592,1174,4630,3.13658E-05
