Genus_species,Family,Subfamily,Museum,Rego,Snout_Vent,Snout_Axilla,Interlimb,Body_Width,Pelvic_Width,Pelvic_Height,Head_Width,Head_Length,Snout_Eye,Snout_Tip,Eye_Diameter,Head_Depth,Tail_Width,Total_Tail,Tail_Length,Tail_Loss,RG,RG2,Arm,Upper_Arm,Lower_Arm,Hand,Number of digits forelimb,Leg,Upper_Leg,Lower_Leg,Foot,Number of digits hindlimb,State/Province,Verbatim Locaility,Latitude,Longitude,Notes,Data Collector
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R11055,160,50,95,38.56,16.19,21.66,28.82,30.22,8.33,2.94,7.9,23.07,24.86,,67,Y,120,,50.94,14.64,17.33,18.97,5,65.97,22.27,18.7,25,5,,,,,,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R6835,198,66,115,37.64,16.82,23.74,31.61,35.57,9.87,3.12,7.8,24.05,28.22,83,39.19,Y,14.5,,54.4,16.8,19.38,18.22,5,75.52,23.4,21.02,31.1,5,,,,,,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R6713,174,53,104,33.75,15.62,23.36,24.36,28.6,8.61,2.6,5.75,21.29,25.51,187,142,N,,,47.95,15.8,15.5,16.65,5,58.32,18.52,18,21.8,5,,,,,,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R5711,108,35.8,62.33,24.99,9.1,14.4,16.38,21.15,6.61,2,4.94,13.54,14.4,166,166,N,,,35.51,11.38,11,13.13,5,45.36,13.01,12.95,19.4,5,,,,,gravid female,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R5685,125,48,67,25.79,12.8,17.34,19.6,24.95,7.67,2.6,5.95,16.59,17.8,24.5,24.5,Y,,,41.51,13.57,12.5,15.44,5,57,17,16.2,23.8,5,,,,,,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R10927,210,67,118,42.2,20.9,27.4,32.2,35.5,10.2,3.8,7.4,23,29.6,,240,Y,89,,57,18.4,19.1,19.5,5,74,22.1,23.4,28.5,5,,,,,,Ian Brennan
Bellatorias frerei,Scincidae,Egerniinae,ANWC,R10925,188,59,115,43.9,19.6,27,29.5,33.5,10.3,295,7.4,24.7,29.7,,236,N,,,54.5,19.3,17.2,18,5,71.9,21.4,22.6,27.9,5,,,,,,Ian Brennan
Bellatorias major,Scincidae,Egerniinae,MV,D08588,308,107.81,166,57.08,30.26,40.47,45.12,54.27,18.14,,11.15,33.2,34.49,,302,N,NA,NA,73.16,25.83,23.58,31.38,5,90.84,42.82,34.12,43.37,5,NA,NA,NA,NA,,Chapple Group
Bellatorias major,Scincidae,Egerniinae,MV,D51937,289,96.48,167,43.21,28.44,41.96,43.38,47.9,14.74,,11.44,31.42,36.38,,351,N,NA,NA,76.42,27.69,24.83,23.9,5,110.21,34.31,34.24,41.66,5,NA,NA,NA,NA,,Chapple Group
Bellatorias major,Scincidae,Egerniinae,MV,D08617,271,106.08,157,57.59,32.99,42.73,39.97,47.64,15.96,,11.63,32.48,38.56,,286.62,Y,NA,NA,64.69,26.01,24.05,29.61,5,113.42,35.96,33.98,43.48,5,NA,NA,NA,NA,,Chapple Group
Bellatorias obiri,Scincidae,Egerniinae,MAGNT,R26960,149.69,52.05,82.45,30.54,14.01,18.06,23.11,27.14,7.87,,6.29,15.19,20.04,,229,N,NA,NA,46.52,19.18,16.48,20.09,5,60.9,26.25,21.36,28.78,5,Northern Territory,NA,-12.9,132.8,,Chapple Group
Bellatorias obiri,Scincidae,Egerniinae,MAGNT,R26270,180.9,66.42,100.5,37.54,17.05,21.72,29.29,32.57,8.75,,7.11,21.38,25.76,,225.9,N,NA,NA,48.86,21.27,19.74,19.06,5,67.13,29.82,24.7,27.2,5,Northern Territory,NA,-12.9,132.8,,Chapple Group
Cyclodomorphus branchialis,Scincidae,Egerniinae,WAM,R129770,57.29,18.93,33.85,7.04,4.37,3.75,6.67,11.47,3.04,,2.4,5.79,4.3,,51.17,N,NA,NA,12.37,5.26,4.17,4.59,5,13.14,5.15,4.88,6.52,5,Western Australia,NA,-27.9,114.6,,Chapple Group
Cyclodomorphus branchialis,Scincidae,Egerniinae,WAM,R156771,70.6,21.68,45.03,8.37,4.96,5.2,7.75,13.12,3.79,,2.54,6.09,5.01,,64.56,N,NA,NA,14.02,5.73,4.95,6.29,5,16.02,6.8,5.86,6.44,5,Western Australia,NA,-28.1,117.9,,Chapple Group
Cyclodomorphus branchialis,Scincidae,Egerniinae,WAM,R130511,61.06,20.01,36.33,7.35,4.06,4.11,6.46,11.56,3.15,,2.19,6.11,3.78,,42.92,N,NA,NA,12.07,4.93,3.76,4.73,5,14.54,6.29,5.29,6.6,5,Western Australia,NA,-28.4,115.6,,Chapple Group
Cyclodomorphus branchialis,Scincidae,Egerniinae,WAM,R1725,80.64,22.76,53.5,10.14,6.13,5.66,8.78,13.23,3.77,,2.59,7.37,5.57,,64.04,N,NA,NA,11.02,4.64,4.63,5.31,5,16.32,6.41,5.73,5.79,5,Western Australia,NA,-28.8,114.6,,Chapple Group
Cyclodomorphus branchialis,Scincidae,Egerniinae,WAM,R134849,71.42,22.81,43.98,8.5,5.16,4.81,8.25,13.01,3.34,,2,6.25,4.75,,58.45,N,NA,NA,12.04,5.85,4.22,5.32,5,16.6,6.47,5.78,6.35,5,Western Australia,NA,-29.3,116.4,,Chapple Group
Cyclodomorphus casuarinae,Scincidae,Egerniinae,MV,D5733,173.91,45.36,121.17,27.84,13.02,16.2,19.57,27.36,8.16,,4.55,14.23,14.22,,NA,Y,NA,NA,23.73,9.57,8.86,11.62,5,35.4,16.04,12.21,16.01,5,NA,NA,NA,NA,,Chapple Group
