Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
AHE-L1.fasta	115	1479	170085	14700	8.643	691	0.467	452	0.306	0.422	0.578	36244	53600	36176	29216	1	0	60	73	2	0	2	6	4	1	0	131	0	14569	0
AHE-L10.fasta	121	948	114708	7989	6.965	434	0.458	297	0.313	0.52	0.48	31518	28087	23042	24047	1	0	12	11	0	0	0	0	1	0	0	54	0	7935	0
AHE-L100.fasta	122	1584	193248	15547	8.045	784	0.495	545	0.344	0.535	0.465	49059	48789	33807	45953	1	1	38	51	0	0	1	0	0	1	0	88	0	15459	0
AHE-L101.fasta	111	1434	159174	23383	14.69	926	0.646	625	0.436	0.529	0.471	40122	35867	28031	31669	2	1	57	40	0	0	2	0	0	0	0	638	0	22745	0
AHE-L102.fasta	122	1590	193980	6320	3.258	571	0.359	357	0.225	0.485	0.515	51939	53175	43515	38959	2	3	17	23	0	0	10	5	9	3	0	347	0	5973	0
AHE-L103.fasta	122	1662	202764	23042	11.364	671	0.404	407	0.245	0.584	0.416	57191	37840	36914	47699	0	3	26	37	1	2	3	2	2	2	0	609	0	22433	0
AHE-L104.fasta	122	1272	155184	6368	4.104	495	0.389	354	0.278	0.505	0.495	35645	38079	35608	39427	0	0	31	25	1	0	0	0	0	0	0	76	0	6292	0
AHE-L105.fasta	122	1086	132492	4488	3.387	586	0.54	407	0.375	0.539	0.461	35958	26300	32719	32902	1	1	71	44	1	0	1	4	0	2	0	281	0	4207	0
AHE-L106.fasta	121	1707	206547	17396	8.422	1070	0.627	729	0.427	0.603	0.397	69344	35062	39919	44754	0	1	36	34	1	0	0	0	0	0	0	119	0	17277	0
AHE-L107.fasta	111	891	98901	3760	3.802	600	0.673	433	0.486	0.601	0.399	25966	18023	19893	31207	0	0	33	17	0	0	1	1	0	0	0	58	0	3702	0
AHE-L108.fasta	120	561	67320	1087	1.615	205	0.365	149	0.266	0.503	0.497	16291	17336	15590	16997	0	0	11	8	0	0	0	0	0	0	0	123	0	964	0
AHE-L109.fasta	117	1095	128115	6396	4.992	580	0.53	393	0.359	0.622	0.378	36504	24316	21699	39149	0	0	19	32	0	0	0	0	0	0	0	67	0	6329	0
AHE-L11.fasta	122	1566	191052	20200	10.573	711	0.454	471	0.301	0.508	0.492	47900	42870	41050	38933	1	3	38	33	0	0	6	7	4	7	0	247	0	19953	0
AHE-L110.fasta	120	1548	185760	8381	4.512	836	0.54	576	0.372	0.577	0.423	58721	34682	40402	43491	0	0	38	41	0	0	1	1	2	0	0	83	0	8298	0
AHE-L111.fasta	117	948	110916	9202	8.296	525	0.554	324	0.342	0.581	0.419	27552	20704	21772	31638	0	0	25	23	0	0	0	0	0	0	0	309	0	8893	0
AHE-L112.fasta	119	1206	143514	6582	4.586	628	0.521	416	0.345	0.568	0.432	41264	30226	28889	36477	1	0	47	20	1	3	1	1	1	1	0	167	0	6415	0
AHE-L113.fasta	120	711	85320	4128	4.838	367	0.516	262	0.368	0.467	0.533	16219	22951	20334	21633	0	1	19	31	1	0	0	0	0	3	0	58	0	4070	0
AHE-L114.fasta	120	1209	145080	5753	3.965	568	0.47	436	0.361	0.555	0.445	41288	29850	32153	35992	0	0	16	26	1	0	0	0	1	0	0	77	0	5676	0
AHE-L115.fasta	9	1356	12204	861	7.055	758	0.559	421	0.31	0.323	0.677	1736	4433	3255	1919	0	0	0	0	0	0	0	0	0	0	0	17	0	844	0
AHE-L116.fasta	95	1590	151050	9755	6.458	1034	0.65	693	0.436	0.534	0.466	36956	37174	28784	38320	0	0	28	33	0	0	0	0	0	0	0	74	0	9681	0
AHE-L118.fasta	122	1839	224358	13666	6.091	635	0.345	323	0.176	0.61	0.39	67882	35524	46743	60483	0	0	33	17	1	2	1	1	2	3	0	109	0	13557	0
AHE-L119.fasta	122	1593	194346	6997	3.6	645	0.405	485	0.304	0.564	0.436	54710	38415	43303	50849	0	0	28	42	0	0	1	1	0	0	0	421	0	6576	0
AHE-L12.fasta	122	1626	198372	13240	6.674	866	0.533	528	0.325	0.583	0.417	62505	33548	43721	45310	0	1	28	17	0	0	0	1	1	0	0	159	0	13081	0
AHE-L120.fasta	116	1314	152424	14386	9.438	838	0.638	621	0.473	0.533	0.467	44896	31244	33302	28489	0	2	54	49	0	0	1	0	0	1	0	116	0	14270	0
AHE-L121.fasta	121	1134	137214	15946	11.621	735	0.648	485	0.428	0.457	0.543	29571	35889	29848	25806	0	1	68	79	1	0	0	1	1	3	0	134	0	15812	0
AHE-L122.fasta	16	1119	17904	7715	43.091	464	0.415	296	0.265	0.39	0.61	2159	3084	3115	1817	1	2	3	4	0	0	1	2	0	1	0	2987	0	4728	0
AHE-L123.fasta	120	1497	179640	18119	10.086	781	0.522	457	0.305	0.58	0.42	46168	33729	33992	47549	1	2	35	41	1	1	0	1	0	1	0	562	0	17557	0
AHE-L124.fasta	121	1482	179322	7723	4.307	668	0.451	458	0.309	0.604	0.396	57292	33717	34228	46265	1	1	47	44	1	1	1	1	0	0	0	95	0	7628	0
AHE-L125.fasta	122	1386	169092	7983	4.721	593	0.428	431	0.311	0.519	0.481	46272	40850	36605	37228	0	1	70	82	0	0	0	0	0	1	0	105	0	7878	0
AHE-L126.fasta	121	1575	190575	20019	10.505	745	0.473	521	0.331	0.428	0.572	35491	48330	49305	37308	1	2	46	66	1	0	3	3	0	0	0	136	0	19883	0
AHE-L127.fasta	121	927	112167	1517	1.352	500	0.539	356	0.384	0.595	0.405	34102	23895	20783	31770	0	1	50	48	0	0	0	1	0	0	0	106	0	1411	0
AHE-L128.fasta	120	1800	216000	10122	4.686	841	0.467	571	0.317	0.573	0.427	58481	42349	45593	59297	0	1	71	82	0	1	1	0	2	0	0	111	0	10011	0
AHE-L129.fasta	122	1593	194346	7668	3.946	720	0.452	509	0.32	0.553	0.447	57546	45463	37892	45644	0	0	68	55	0	1	2	2	3	2	0	242	0	7426	0
AHE-L13.fasta	119	846	100674	1289	1.28	287	0.339	193	0.228	0.588	0.412	30347	19645	21337	28028	0	0	10	17	0	0	0	0	1	0	0	59	0	1230	0
AHE-L130.fasta	122	1809	220698	6401	2.9	927	0.512	590	0.326	0.565	0.435	62501	48622	44600	58516	0	0	29	24	0	0	0	1	1	3	0	286	0	6115	0
AHE-L131.fasta	120	1116	133920	13220	9.872	748	0.67	511	0.458	0.569	0.431	37614	25242	26575	31187	0	0	42	37	0	0	1	1	0	1	0	627	0	12593	0
AHE-L132.fasta	108	1293	139644	17492	12.526	791	0.612	553	0.428	0.534	0.466	40056	30627	26153	25237	0	0	36	34	0	0	3	0	5	1	0	327	0	17165	0
AHE-L133.fasta	111	891	98901	8382	8.475	657	0.737	439	0.493	0.561	0.439	30036	20936	18715	20747	0	0	34	49	0	0	0	1	0	1	0	116	0	8266	0
AHE-L135.fasta	122	1773	216306	15530	7.18	894	0.504	588	0.332	0.558	0.442	59719	46938	41734	52292	3	3	28	52	2	0	0	1	3	1	0	78	0	15452	0
AHE-L136.fasta	99	1899	188001	26251	13.963	1216	0.64	870	0.458	0.624	0.376	48733	30939	29804	52205	1	0	34	34	0	0	0	0	0	0	0	351	0	25900	0
AHE-L137.fasta	115	1353	155595	9423	6.056	705	0.521	476	0.352	0.612	0.388	46188	24572	32163	43146	0	0	60	41	1	0	1	0	0	0	0	765	0	8658	0
AHE-L138.fasta	40	471	18840	2167	11.502	237	0.503	97	0.206	0.584	0.416	4536	3837	3094	5200	2	0	1	1	0	0	0	2	0	0	0	75	0	2092	0
AHE-L139.fasta	118	1119	132042	7816	5.919	829	0.741	576	0.515	0.559	0.441	34830	27436	27314	34501	0	0	89	55	0	0	1	0	0	0	0	121	0	7695	0
AHE-L14.fasta	119	1872	222768	21369	9.592	696	0.372	368	0.197	0.616	0.384	69039	34861	42580	54879	2	2	19	17	0	0	0	0	0	0	0	520	0	20849	0
AHE-L141.fasta	108	1485	160380	19558	12.195	947	0.638	622	0.419	0.589	0.411	43681	26328	31392	39302	1	2	54	50	2	1	3	4	2	0	0	312	0	19246	0
AHE-L142.fasta	113	792	89496	10043	11.222	516	0.652	331	0.418	0.614	0.386	26959	14013	16611	21841	0	2	9	16	0	0	1	0	0	1	0	211	0	9832	0
AHE-L143.fasta	119	1365	162435	7582	4.668	814	0.596	531	0.389	0.595	0.405	46360	31006	31604	45810	0	0	40	32	0	1	0	0	0	0	0	89	0	7493	0
AHE-L144.fasta	120	1746	209520	24613	11.747	751	0.43	496	0.284	0.567	0.433	58633	42141	37897	46167	0	1	35	28	0	0	0	2	1	2	0	199	0	24414	0
AHE-L145.fasta	121	1524	184404	8916	4.835	637	0.418	369	0.242	0.503	0.497	49865	48684	38388	38396	7	0	60	43	1	5	13	9	11	6	0	415	0	8501	0
AHE-L146.fasta	121	1764	213444	17882	8.378	938	0.532	681	0.386	0.577	0.423	55219	38811	43952	57530	0	0	24	24	1	0	0	1	0	0	0	46	0	17836	0
AHE-L147.fasta	119	1104	131376	4246	3.232	653	0.591	446	0.404	0.587	0.413	33534	27293	25172	41081	0	0	19	29	1	1	0	0	0	0	0	497	0	3749	0
AHE-L148.fasta	122	1857	226554	11687	5.159	844	0.454	530	0.285	0.547	0.453	57836	57301	40086	59574	0	1	40	24	0	2	1	0	1	1	0	237	0	11450	0
AHE-L149.fasta	120	960	115200	9464	8.215	483	0.503	323	0.336	0.505	0.495	25558	27702	24716	27722	0	0	15	22	0	0	1	0	0	0	0	61	0	9403	0
AHE-L15.fasta	120	1569	188280	24899	13.224	667	0.425	460	0.293	0.52	0.48	51480	39448	38882	33480	0	1	37	51	0	0	1	1	0	0	0	214	0	24685	0
